text,label
important going fun ipad strategy games original boots ugg wear ugg boots winter low cost ugg boots uggs need get washed inside also lightweight feel burdened speed finances payday loans payday loans monthly solution,sadness
feel virtuous eating sort penance taste bad feel alive crunch,joy
feeling lil bit gloomy,sadness
wave remember many people love feel arms supporting deep painful sea,joy
feel blessed beyond thankful opportunity paint readers best,joy
talking growing number friends past months telling stories feeling emotionally beaten life,sadness
grew feel like knew parents would disturbed,sadness
love feel threatened around little,fear
feel nervous dont feel super confident trophy,fear
feel despairing sadness much time working cut ties,sadness
im feeling stressed overworked running fumes,anger
thought maybe get today crying already feeling incredibly depressed,sadness
im feeling like lunches dull,sadness
feel reluctant supply motion picture score stars,fear
im feeling bit apprehensive dont know little note cards stand mass talent etsy,fear
know stresses past week sensory overload oh sleeping well contributing stoic type feel however rather jolly feel like icky mood,joy
didnt feel got meant reluctant open really share going,fear
begins feel grow fond asks leave alone good,love
feeling extraordinarily jolly today,joy
feeling energetic alive happier long time,joy
afrade life people feel quite hostile towards,anger
ive lot good days feel fabulous lots energy lately ive also bad days feel gigantic slow clumsy,joy
feeling bouncy added go tangles around rather like spiraling effect achieved,joy
im left feeling paranoid like keeps getting harder feel happy,fear
know feel sorry feel like,sadness
feel like uncertain things certain,fear
moved little flat london struggling look made feel really useless,sadness
im known feel affectionate toward adore leonard cohen makes like quite lot,love
feeling im look like innocent lame hunting group old dirty hyena hope ways free dead,joy
allow feel emotional depths sorrow,sadness
started feel uncomfortable buzzy short breath mildly panicky,fear
feel dangerous,anger
im feeling quite disillusioned weighins,sadness
feel frustrated sad,anger
said mixed feelings one hand im glad benny survived hand preposterous,joy
feel like im going way successful writer,joy
told im didnt want feel uncomfortable,fear
meet men feel insecure women,fear
im creature habit major life changes always leave feeling sort dazed confused occasionally sad grumpy,surprise
feel truthful usual days,joy
ive feeling really energetic night honestly needed,joy
came home last night charity man auction another time hoo boy feeling pretty smug,joy
loved person went away wasnt necessary left reach goals,anger
continue define discover home mean amsterdam whenever feel pang blank sickness line missing cultural mindset american city life much different cultural mindset amsterdam,sadness
feel bit embarrassed times make mistakes,sadness
im feeling quite groggy thats right,sadness
feel like fact abused,sadness
flipped guys feel terrible today flipped guys feel terrible href http www,sadness
feel really lucky making living think important pass word tap dance,joy
soak feel beloved next,love
feel like ive talking creation stories forever im excited finally able move,joy
im organised person feel assured pre plan,joy
wrapped one child another hug realized sinking feeling quickly precious moment passing thankful particular precious passing moment kids,joy
feel terrified future,fear
romantic meal glasses wine tired lethargic last thing feel like vigorous humping action,joy
feel values need shifted direction caring things earth planet live,love
feel like naughty girl said way,love
could feel felt thankful battle thankful place serenity,joy
feel cool reading book especially take along read waiting doctors appointment,joy
bit depressed really feeling defeated,sadness
ive found end feel like missed winter,sadness
feel like lack real knowledge skill would make photos turn well consistently,joy
part basically feeling sympathetic bit late opinion hachi rushes find nobu trying help nana blowing paper bag,love
remember feeling acutely distressed days,fear
help feel sympathetic netflix army misinformed denounced netflix recent price hike,love
never know theres enough light properly expose photo feel like often end dull images disappoint,sadness
hope feel take time feel tender life moment,love
wrote song time feeling disillusioned worship scene town live,sadness
feel tazi sofa strives elegant yet funky without compromising individuality,joy
feeling really rotten,sadness
smirk folks use outlook feel like superior smarter person surrounded fools,joy
reached feel strange sensation felt something,fear
feel like roller coaster craziness keep mind throne precious lady anything keep way even means killing people around,joy
feel inadequate almost everything,sadness
could used blog post one perfectly describes way feel well give tribute,joy
always feel like im entirely pathetic needy people usually tell neither quieter usual,sadness
feel regretful going,sadness
feel dissatisfied advances made rather team stinks,anger
feeling particularly joyful today though todays blog entry doesnt necessarily align particular emotional state subject rightfully found place conversation public eye,joy
want get mornings feeling excited going work instead wanting hit snooze button,joy
feel extremely mind fucked,anger
really hoping theyd get far enough ahead us could feel like navigating delighted punching second control headed onto trail woods,joy
im glad peter doesnt feel threatened concerned recent interest decidedly egalitarian almost feminist christian blogs jonalyn finchers href http soulation,fear
feel like feel guilty treating badly dont really want go back wont get league proper anyway due inability make every practice service hours despite good skater good attitude toward practices make,sadness
feeling generous mood runner prize copy href http www,love
feel solemn duty share divine knowledge mine order others may benefit truth beauty render world tad closer thearchitecturality utopian perfectly set garage society strive,joy
almost feel confused character honestly say actually things going pretty well,fear
bad feeling going get aggravated tomorrow,anger
feel talented realistic,joy
feel determined regain routine proud,joy
like pull ever feel like snobbish musical tastes,anger
trainer dont think ever weighed little im feeling pretty excited,joy
im sure anyone else like especially im feeling low dont particularly want wear vintage clothing,sadness
started week feeling groggy unwell picking sick note doctor climbing fresh sheets snacks bottle water hand,sadness
back working confidence feeling terrific,joy
want leave thanked parents trusting spend night made feel like respected,joy
wanted avoid feeling rushed,anger
really feel regretful hearing shinae got married another man oh really sad really hope alex shinae couple real life perfect,sadness
feel like ways im probably putting vulnerable positions enough pushing limits,fear
feel relaxed merson said,joy
like leaving feel inadaquate valued appreciated,joy
feel glad go sing sleep sing sleep dont want wake anymore,joy
even sure formulate thoughts since put feeling slightly overwhelmed,fear
need cantor ministry made feel hated supported views,sadness
squint magnifying glass read chose little oxford dictionary english grammar least makes feel intelligent even wrecking eyesight read makes idiot,joy
feel smart even though really easy haha,joy
wake feeling fearful helpless,fear
feel strange thankful awful things sides oceans surround country happen daily basis,fear
im feeling bit smug im number things already walking cycling advocacy lots fruit veggies whole grains attending service every sunday,joy
mean great food holds wonderful memories make feel good,joy
im feeling less impressed speech morning last night,surprise
remember getting car body feeling really lame,sadness
feel something curious someone listens current music realized songs become weird unique vibe gets lost non korean songs translated korean,surprise
probably lazy lounge around house possibly go pool depends im feeling bothered last day go back work yeah,anger
feel useless worthless,sadness
feel safe especially since psychologist said rather clear suffer gender dysphoria see thats something ive made im gonna end dropped fend try deal,joy
really feel people consistently make us feel unimportant grand scheme life,sadness
feeling satisfied heading training cannot wait see journey continues ta,joy
feel honored grateful met kassim selamat swallows trip,joy
feel fearful,fear
getting back results test school,fear
told continues fact feel fear frightened correction terrified next,fear
want feel disappointment sure come getting traffic recognition,joy
feel guilty family friends made introduction job somehow even feel guilty boss even though fooled lied,sadness
really feel curious whether dad ever bitten,surprise
look back feel amazed young age could pull together like,surprise
im already feeling emotional chance say anything turns says love,sadness
feel im much productive get less distracted feel much accomplished,joy
treated feel important allow children part treatment protocols spend lot time consults listening children tell think,joy
would guilty conscience would feel like heartless bitch,anger
know anyone else times feeling low stressed need see something pretty,sadness
feel liked talked mass effect death posts going afraid,love
im still feeling thankful vein thought id celebrate blogging sharing moments experiences fall grateful,joy
idea get gastric pain feel stressed,anger
drove home aware feeling like called ask ok,joy
feel like perfect person trust dont want perfect,joy
feel truly blessed opportunity teach children watch grow,joy
feel like ive reading lisas blogs ever lovely finally meet boys recognised immediately,love
mean could literally feel feeling content,joy
feel absolutely splendid right,joy
see thin friend struggling gain weight eating lot rubbish food everyday see fat friend laughed see feeling ashamed way looks,sadness
sit author letter feel little surprised entire year already passed us,surprise
feel dorm began breath pleased liberty,joy
feeling especially irritated,anger
feeling sad today dont know fix,sadness
feel bit tortured right,fear
feel fine,joy
feel like totally horrible person really wish coming another weekend,sadness
almost state panic feel like im trusting people right,joy
feel need jump bunch hoops enable watch beloved often befuddled bengals time start losing,love
brief time beanbag said anna feel like beaten,sadness
feel heartless saying though,anger
feel like love romantic comedies sort mixed tone woody allen work obviously jim brooks earl billy wilder films like apartment,love
want feel carefree one last day,joy
always intended achieving could everyone else feel like intelligent productive successful person,joy
feel honored art going fill room sick children need joy get,joy
feeling grouchy old man mentioned retail therapy great,anger
feel comfortable trying say,joy
awoke hour feeling groggy,sadness
asked person approaching issue answer oh specific saying even though feel loved deeply completely accept,love
feel greedy selfish,anger
think feels pretty cute,joy
much lighter feel extremely passionate life yes,love
im trying something often look whole problem feel overwhelmed sometimes avoid issue long,surprise
spent lot time earlier year feeling stressed capacity resistant stretching felt like stretching,sadness
plan run miles morning distance generally leaves bunion feeling extremely tender painful,love
feel love thank pagetitle popular news abc news u,joy
taken three rolls shots far really feeling way strange camera lightmeter long forgotten thought processes slow photography,surprise
begin letter kitchen soft predawn winter morning cup tea beside computer feeling virtuous secret hour light made streets mundane,joy
feel petty mean unemotional im,anger
feel rude going bathroom,anger
always spend money mean feel dissatisfied exit store,anger
feel like character precious,joy
also feel regretful sense elation felt offing,sadness
feel tremendously lonely,sadness
feel eager,joy
feel user friendly,joy
dont know think break actively ttc feel better whole thing,joy
feel content happy,joy
im bit afraid cookie making feel fantastic,joy
want feel maybe something feeling convinced nvm state mind due deliberations,joy
feel invigorated one,joy
feel greedy obsession continues sustainabilitys growth hindered,anger
adore watches gift list knows im feeling unloved surprises like,sadness
feel fearful near,fear
really feel like mostly culmination starting play clubs wanting make dancefloor friendly stuff stuff certain tempo range fits nicely setting,joy
begin feel terribly rude causes become depressed,anger
want need hear make feel valued,joy
woke feeling confident watched bodypump dvd gather coaching tips compulsory cues,joy
im huge fan one best friends high school loved many brittneys songs remind time actually friends listen feel alone,sadness
feel punished caring,sadness
im feeling fine normal pregnancy symptoms,joy
sing decently coming kind family always feel like im less talented ive never really tried learn,joy
feeling little homesick colorado,sadness
feel like lived characters felt pain suffering,sadness
didnt feel stress telstra worth thinking resigned,sadness
feel like allergen free cooking making way better prepared christmas recipes accommodate family restrictions,joy
feel amped im inspired,joy
feel something say rather hold back fear might ruin moment seems happy often fa ade revealed much later,joy
could feel saw smelt delicious,joy
loved anyone else wanted feel valued appreciated ought give better treatment random dinner company right,joy
feel sorry californians,sadness
worried would feel homesick,sadness
im really like said understand way feel toni ight blamed excesses merican dream seldom witnessed never er seen hah hah hah hah hah,sadness
told friends feel like sort backpacking instead supporting idea got raised eye brows sarcastic remarks,joy
ive stayed trendier hotel north america tendency feel cool unfriendly,joy
feel helpless one talk,sadness
feel sucked back vicious cycle starts every time open door every time show back back hints love youre afraid,anger
cant help feel much burdened parents,sadness
feel deeply honoured able offer activations made extra times available sessions full moon next week move dark moon build eclipse natural time bringing needs examined surface lives,joy
got eyebrows waxed day feel glamorous,joy
paused feeling would come next would fake,sadness
feel exhausted drained conversation really taken,sadness
usually doubt self point feel amazing housewife motors day list things tell theyre husband day work home,surprise
hate feeling useful,joy
feel afraid live alone living far,fear
parted feeling created wonderful memories,joy
feel gap feels like rich people status poor people status,joy
tired feeling overwhelmed seems like assaulted every direction always best,fear
cried walking home bar feeling though completely ruining carefree mood later night back old apartment best friend everything seemed come crashing fun,joy
pounds feel fantastic shocked discovered going past year,joy
denied feelings amp claimed less cause hesitant jump anything new,fear
ive started delve deep evaluate everything made feel insecure unworthy,fear
sure still remember keep feeling excited enjoying already along way,joy
im feeling peaceful im happy dont anymore scabi im verona final week,joy
feel loving,love
feel need little break however like something lovely quiet,love
hate talking presents feel greedy,anger
feeling mad didnt reply got worried,anger
hate feeling discouraged keep trying start couch k isnt going well,sadness
im feeling im watching reading beware spoilers music im loving listen,love
feeling apprehensive future moment,fear
sigh say im tired feeling needy,sadness
got feeling give got feeling get away becuz cuz dangerous oh badman ah,anger
feel total partnership precious,joy
remember looking car windows passengered around first months feeling vaguely surprised already deep shock different things looked,surprise
still feeling cold swim doesnt really count one earlier,anger
years old father travelled much work passed three months away home,sadness
feel regretful let mundane things work school get way,sadness
sometimes confused well moment time need day pay bill come dont money need sometimes feel confused well,fear
feel cared accepted,joy
feel neurotic sometimes usually even know dont something etc,fear
may bit late year im feeling festive sat fire imagination actually hot radiator,joy
dont know else word miss feeling respected guy able hold guys hand around mall knowing hes mine,joy
love life even feeling isolated,sadness
feel like writing lyrics particularly special except hopeful someone connect get something saying writing,joy
felt sadness remorse supposed feel realize wronged someone corinthians,anger
end feeling exhausted rest day,sadness
feel like really heartbroken little year old explained,sadness
nauseous dizzy feel gloomy least attached body anymore,sadness
im feeling generous get older,joy
feeling ungrateful earlier week,sadness
feel accepted long real pious uppity religious sake religion,joy
feel like little distracted lately,anger
feel thankful able apart one bay area,joy
feel shocked words pure self,surprise
hate feeling discontent im feeling right im tired hiding,sadness
dont enought time get tired made feel unimportant,sadness
feel need turn beloved nations,joy
believe readers feel impressed individual journey,surprise
feel wronged luckily managed control complain talk bad friend either online facebook offline person,anger
feeling bit pathetic sorry,sadness
think lunch sounds datey coffee feels casual,joy
always feel slightly worthless almost self condemning like amounting saving world one day time preacher podium counselor teen single struggling mom writer motivational speaker super mom baby boy,sadness
feel like watching show movie kids bed make sure hop elliptical spin bike least minutes show settle stretch night,joy
